Display name,Description,Data type,Format,Behavior,Required,Searchable,Allow form fill assistance,Choices,Related table,Selecting multiple choices is allowed,Sync with global choice?,Sync this choice with,Default choice,Enum,Autonumber type,Prefix,Minimum number of digits,Seed value,Preview,Schema name,Logical name,Relationship name,Minimum value,Maximum value,Precision source,Time zone adjustment,Maximum character count,IME mode,Enabel auditing,Sortable
Category_ID,Business ID for internal control and pagination,Autonumber,,,Optional,TRUE,TRUE,,,,,,,,String prefixed number,osot-cat,7,1,osot-cat-0000001,osot_Category_ID,osot_category_id,,,,,,850,Disabled,TRUE,TRUE
Table_Membership_Categories,Unique identifier for entity instances,Unique identifier,,,Syste required,TRUE,FALSE,,,,,,,,,,,,,osot_Table_Membership_CategoriesId,osot_table_membership_categoriesid,,,,,,,,FALSE,FALSE
Table_Account,,Lookup,,,Optional,TRUE,TRUE,,Table_Account,,,,,,,,,,,osot_Table_Account,osot_table_account,osot_Table_Membership_Category_osot_Table_Account_osot_Table_Account,,,,,,,FALSE,FALSE
Table_Account_Affiliate,,Lookup,,,Optional,TRUE,TRUE,,Table_Account_Affiliate,,,,,,,,,,,osot_Table_Account_Affiliate,osot_table_account_affiliate,osot_Table_Membership_Category_osot_Table_Account_Affiliate_osot_Table_Account_Affiliate,,,,,,,FALSE,FALSE
Membership_Year,,Single line of text,Text,Simple,Business required,TRUE,TRUE,,,,,,,,,,,,,osot_Membership_Year,osot_membership_year,,,,,,4,Disabled,TRUE,FALSE
Eligibility,,Choice,,Simple,Optional,TRUE,TRUE,,,FALSE,YES,Choices_Eligibility,None,eligibility-enum.ts,,,,,,osot_Eligibility,osot_eligibility,,,,,,,,TRUE,FALSE
Eligibility_Affiliate,,Choice,,Simple,Optional,TRUE,TRUE,,,FALSE,YES,Choices_Eligibility_Affiliate,None,affiliate-eligibility-enum.ts,,,,,,osot_Eligibility_Affiliate,osot_eligibility_affiliate,,,,,,,,TRUE,FALSE
Membership_Category,,Choice,,Simple,Optional,TRUE,TRUE,,,FALSE,YES,Choices_Categories,None,categories.enum.ts,,,,,,osot_Membership_Category,osot_membership_category,,,,,,,,TRUE,FALSE
Membership_Declaration,,Yes/No,,Simple,Business required,TRUE,TRUE,No = 0; Yes = 1,,,,,Yes,,,,,,,osot_Membership_Declaration,osot_membership_declaration,,,,,,,,TRUE,FALSE
Parental_Leave_From,,Date and time,Date only,Simple,Optional,TRUE,TRUE,,,,,,,,,,,,,osot_Parental_Leave_From,osot_parental_leave_from,,,,,User local,,Disabled,TRUE,FALSE
Parental_Leave_To,,Date and time,Date only,Simple,Optional,TRUE,TRUE,,,,,,,,,,,,,osot_Parental_Leave_To,osot_parental_leave_to,,,,,User local,,Disabled,TRUE,FALSE
Parental_Leave_Expected,,Choice,,Simple,Optional,TRUE,TRUE,,,FALSE,yes,Choices_Parental_Leave_Expected,None,parental-leave-expected.enum.ts,,,,,,osot_Parental_Leave_Expected,osot_parental_leave_expected,,,,,,,,TRUE,FALSE
Retirement_Start,,Date and time,Date only,Simple,Optional,TRUE,TRUE,,,,,,,,,,,,,osot_Retirement_Start,osot_retirement_start,,,,,User local,,Disabled,TRUE,FALSE
Privilege,,Choice,,Simple,Optional,TRUE,TRUE,,,FALSE,YES,Choices_Privilege,Owner,privilege.enum.ts,,,,,,osot_Privilege,osot_privilege,,,,,,,,TRUE,FALSE
Access_Modifiers,,Choice,,Simple,Optional,TRUE,TRUE,,,FALSE,YES,Choices_Access_Modifiers,Private,access-modifier.enum.ts,,,,,,osot_Access_Modifiers,osot_access_modifiers,,,,,,,,TRUE,FALSE
Users_Group,,Choice,,Simple,Optional,TRUE,TRUE,,,FALSE,YES,Choices_Users_Group,None,user-group.enum.ts,,,,,,osot_Users_Group,osot_users_group,,,,,,,,TRUE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Display Name,Table_Membership_Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plural Name,Table_Membership_Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schema Name,osot_Table_Membership_Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logical Name,osot_table_membership_categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
