Display name,Description,Data type,Format,Behavior,Required,Searchable,Allow form fill assistance,Choices,Related table,Selecting multiple choices is allowed,Sync with global choice?,Sync this choice with,Default choice,Enum,Autonumber type,Prefix,Minimum number of digits,Seed value,Preview,Schema name,Logical name,Relationship name,Minimum value,Maximum value,Precision source,Time zone adjustment,Maximum character count,IME mode,Enabel auditing,Sortable
Employment ID,Business ID for internal control and pagination,Autonumber,,,Business required,TRUE,FALSE,,,,,,,,String prefixed number,osot-emp,7,1,osot-emp-0000001,osot_Employment_ID,osot_employment_id,,,,,,850,Disabled,TRUE,TRUE
Table_Membership_Employment,Unique identifier for entity instances,Unique identifier,,,System required,TRUE,FALSE,,,,,,,,,,,,,osot_Table_Membership_EmploymentId,osot_table_membership_employmentid,,,,,,,,FALSE,FALSE
Table_Account,,Lookup,,,Optional,TRUE,TRUE,,Table_Account,,,,,,,,,,,osot_Table_Account,osot_table_account,osot_Table_Membership_Employment_osot_Table_Account_osot_Table_Account,,,,,,,FALSE,FALSE
Membership_Year,,Single line of text,Text,Simple,Business required,TRUE,TRUE,,,,,,,,,,,,,osot_Membership_Year,osot_membership_year,,,,,,4,Disabled,TRUE,FALSE
Employment_Status,,Choice,,Simple,Business required,TRUE,TRUE,,,FALSE,YES,Choices_Employment_Status,None,employment-status.enum.ts,,,,,,osot_Employment_Status,osot_employment_status,,,,,,,,TRUE,FALSE
Work_Hours,,Choice,,Simple,Business required,TRUE,TRUE,,,TRUE,YES,Choices_Work_Hours,None,work-hours.enum.ts,,,,,,osot_Work_Hours,osot_work_hours,,,,,,,,TRUE,FALSE
Role_Descriptor,,Choice,,Simple,Business required,TRUE,TRUE,,,FALSE,YES,Choices_Role_Descriptor,None,role-description.enum.ts,,,,,,osot_Role_Descriptor,osot_role_descriptor,,,,,,,,TRUE,FALSE
Role_Descriptor_Other,,Single line of text,Text,Simple,Optional,TRUE,TRUE,,,,,,,,,,,,,osot_Role_Descriptor_Other,osot_role_descriptor_other,,,,,,255,Disabled,TRUE,FALSE
Practice_Years,,Choice,,Simple,Business required,TRUE,TRUE,,,FALSE,YES,Choices_Practice_Years,None,practice-years.enum.ts,,,,,,osot_Practice_Years,osot_practice_years,,,,,,,,TRUE,FALSE
Position_Funding,,Choice,,Simple,Business required,TRUE,TRUE,,,TRUE,YES,Choices_Funding,None,funding.enum.ts,,,,,,osot_Position_Funding,osot_position_funding,,,,,,,,TRUE,FALSE
Position_Funding_Other,,Single line of text,Text,Simple,Optional,TRUE,TRUE,,,,,,,,,,,,,osot_Position_Funding_Other,osot_position_funding_other,,,,,,255,Disabled,TRUE,FALSE
Employment_Benefits,,Choice,,,Business required,TRUE,FALSE,,,TRUE,YES,Choices_Benefits,None,benefits.enum.ts,,,,,,osot_Employment_Benefits,osot_employment_benefits,,,,,,,,TRUE,FALSE
Employment_Benefits_Other,,Single line of text,Text,Simple,Optional,TRUE,TRUE,,,,,,,,,,,,,osot_Employment_Benefits_Other,osot_employment_benefits_other,,,,,,255,Disabled,TRUE,FALSE
Earnings_Employment,,Choice,,Simple,Business required,TRUE,TRUE,,,FALSE,YES,Choices_Hourly_Earnings,None,hourly-earnings.enum.ts,,,,,,osot_Earnings_Employment,osot_earnings_employment,,,,,,,,TRUE,FALSE
Earnings_Self_Direct,,Choice,,Simple,Business required,TRUE,TRUE,,,FALSE,YES,Choices_Hourly_Earnings,None,hourly-earnings.enum.ts,,,,,,osot_Earnings_Self_Direct,osot_earnings_self_direct,,,,,,,,TRUE,FALSE
Earnings_Self_Indirect,,Choice,,Simple,Business required,TRUE,TRUE,,,FALSE,YES,Choices_Hourly_Earnings,None,hourly-earnings.enum.ts,,,,,,osot_Earnings_Self_Indirect,osot_earnings_self_indirect,,,,,,,,TRUE,FALSE
Union_Name,,Single line of text,Text,Simple,Business required,TRUE,TRUE,,,,,,,,,,,,,osot_Union_Name,osot_union_name,,,,,,255,Disabled,TRUE,FALSE
Another_Employment,,Yes/No,,Simple,Optional,TRUE,TRUE,No = 0; Yes = 1,,,,,,,,,,,,osot_Another_Employment,osot_another_employment,,,,,,,,TRUE,FALSE
Privilege,,Choice,,Simple,Optional,TRUE,TRUE,,,FALSE,YES,Choices_Privilege,Owner,privilege.enum.ts,,,,,,osot_Privilege,osot_privilege,,,,,,,,TRUE,FALSE
Access_Modifiers,,Choice,,Simple,Optional,TRUE,TRUE,,,FALSE,YES,Choices_Access_Modifiers,Private,access-modifier.enum.ts,,,,,,osot_Access_Modifiers,osot_access_modifiers,,,,,,,,TRUE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Display Name,Table_Membership_Employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plural Name,Table_Membership_Employments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schema Name,osot_Table_Membership_Employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logical Name,osot_table_membership_employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
