Display name,Description,Data type,Format,Behavior,Required,Searchable,Allow form fill assistance,Choices,Related table,Selecting multiple choices is allowed,Sync with global choice?,Sync this choice with,Default choice,Enum,Autonumber type,Prefix,Minimum number of digits,Seed value,Preview,Schema name,Logical name,Relationship name,Minimum value,Maximum value,Precision source,Time zone adjustment,Maximum character count,IME mode,Enabel auditing,Sortable
Practice ID,Business ID for internal control and pagination,Autonumber,,,Business required,TRUE,TRUE,,,,,,,,String prefixed number,osot-pra,7,1,osot-pra-0000001,osot_Practice_ID,osot_practice_id,,,,,,850,Disabled,TRUE,TRUE
Table_Membership_Practice,Unique identifier for entity instances,Unique identifier,,,System required,TRUE,FALSE,,,,,,,,,,,,,osot_Table_Membership_PracticeId,osot_table_membership_practiceid,,,,,,,,FALSE,FALSE
Table_Account,,Lookup,,,Optional,TRUE,TRUE,,Table_Account,,,,,,,,,,,osot_Table_Account,osot_table_account,osot_Table_Membership_Practice_osot_Table_Account_osot_Table_Account,,,,,,,FALSE,FALSE
Membership_Year,,Single line of text,Text,Simple,Business required,TRUE,TRUE,,,,,,,,,,,,,osot_Membership_Year,osot_membership_year,,,,,,4,Disabled,TRUE,FALSE
Preceptor_Declaration,,Yes/No,,Simple,Optional,TRUE,TRUE,No = 0; Yes = 1,,,,,No,,,,,,,osot_Preceptor_Declaration,osot_preceptor_declaration,,,,,,,,TRUE,FALSE
Clients_Age,,Choice,,Simple,Business required,TRUE,TRUE,,,TRUE,YES,Choices_Populations,None,clients-age.enum.ts,,,,,,osot_Clients_Age,osot_clients_age,,,,,,,,TRUE,FALSE
Practice_Area,,Choice,,Simple,Optional,TRUE,TRUE,,,TRUE,YES,Choices_Practice_Area,None,practice-area.enum.ts,,,,,,osot_Practice_Area,osot_practice_area,,,,,,,,TRUE,FALSE
Practice_Settings,,Choice,,Simple,Optional,TRUE,TRUE,,,TRUE,YES,Choices_Practice_Settings,None,practice-settings.enum.ts,,,,,,osot_Practice_Settings,osot_practice_settings,,,,,,,,TRUE,FALSE
Practice_Settings_Other,,Single line of text,Text,Simple,Optional,TRUE,TRUE,,,,,,,,,,,,,osot_Practice_Settings_Other,osot_practice_settings_other,,,,,,255,Disabled,TRUE,FALSE
Practice_Services,,Choice,,Simple,Optional,TRUE,TRUE,,,TRUE,YES,Choices_Practice_Services,None,practice-services.enum.ts,,,,,,osot_Practice_Services,osot_practice_services,,,,,,,,TRUE,FALSE
Practice_Services_Other,,Single line of text,Text,Simple,Optional,TRUE,TRUE,,,,,,,,,,,,,osot_Practice_Services_Other,osot_practice_services_other,,,,,,255,Disabled,TRUE,FALSE
Privilege,,Choice,,Simple,Optional,TRUE,TRUE,,,FALSE,YES,Choices_Privilege,Owner,privilege.enum.ts,,,,,,osot_Privilege,osot_privilege,,,,,,,,TRUE,FALSE
Access_Modifiers,,Choice,,Simple,Optional,TRUE,TRUE,,,FALSE,YES,Choices_Access_Modifiers,Private,access-modifier.enum.ts,,,,,,osot_Access_Modifiers,osot_access_modifiers,,,,,,,,TRUE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Display Name,Table_Membership_Practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plural Name,Table_Membership_Practices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schema Name,osot_Table_Membership_Practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logical Name,osot_table_membership_practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
