Display name,Description,Data type,Format,Behavior,Required,Searchable,Allow form fill assistance,Choices,Related table,Selecting multiple choices is allowed,Sync with global choice?,Sync this choice with,Default choice,Enum,Autonumber type,Prefix,Minimum number of digits,Seed value,Preview,Schema name,Logical name,Relationship name,Minimum value,Maximum value,Precision source,Time zone adjustment,Maximum character count,IME mode,Enabel auditing,Sortable
Preference_ID,Business ID for internal control and pagination,Autonumber,,,Optional,TRUE,TRUE,,,,,,,,String prefixed number,osot-pref,7,1,osot-pref-0000001,osot_Preference_ID,osot_preference_id,,,,,,850,Disabled,TRUE,TRUE
Table_Membership_Preferences,Unique identifier for entity instances,Unique identifier,,,System required,TRUE,FALSE,,,,,,,,,,,,,osot_Table_Membership_PrefereceId,osot_table_membership_prefereceid,,,,,,,,FALSE,FALSE
Table_Membership_Category,Lookup field that creates a connection with the table membership Categories.,Lookup,,,Optional,TRUE,TRUE,,Table_Membership_Category,,,,,,,,,,,osot_Table_Membership_Category,osot_table_membership_category,osot_Table_Membership_Preference_osot_Table_Membership_Category_osot_Table_Membership_Category,,,,,,,FALSE,FALSE
Table_Account,Lookup field that creates a connection with the Account table.,Lookup,,,Optional,TRUE,TRUE,,Table_Account,,,,,,,,,,,osot_Table_Account,osot_table_account,osot_Table_Membership_Preference_osot_Table_Account_osot_Table_Account,,,,,,,FALSE,FALSE
Table_Account_Affiliate,Lookup field that creates a connection with the Account Affiliate table.,Lookup,,,Optional,TRUE,TRUE,,Table_Account_Affiliate,,,,,,,,,,,osot_Table_Account_Affiliate,osot_table_account_affiliate,osot_Table_Membership_Preference_osot_Table_Account_Affiliate_osot_Table_Account_Affiliate,,,,,,,FALSE,FALSE
Membership_Year,,Single line of text,Text,Simple,Business required,TRUE,TRUE,,,,,,,,,,,,,osot_Membership_Year,osot_membership_year,,,,,,4,Disabled,TRUE,FALSE
Third_Parties,,Choice,,Simple,Optional,TRUE,TRUE,,,TRUE,YES,Choices_Third_Parties,None,third-parties.enum.ts,,,,,,osot_Third_Parties,osot_third_parties,,,,,,,,TRUE,FALSE
Practice_Promotion,,Choice,,Simple,Optional,TRUE,TRUE,,,TRUE,YES,Choices_Practice_Promotion,None,practice-promotion.enum.ts,,,,,,osot_Practice_Promotion,osot_practice_promotion,,,,,,,,TRUE,FALSE
Members_Search_Tools,,Choice,,Simple,Optional,TRUE,TRUE,,,TRUE,YES,Choices_Search_Tools,None,search-tools.enum.ts,,,,,,osot_Members_Search_Tools,osot_members_search_tools,,,,,,,,TRUE,FALSE
Shadowing,,Yes/No,,Simple,Optional,TRUE,TRUE,No = 0; Yes = 1,,,,,No,,,,,,,osot_Shadowing,osot_shadowing,,,,,,,,TRUE,FALSE
Psychotherapy_Supervision,,Choice,,Simple,Optional,TRUE,TRUE,,,TRUE,YES,Choices_Psychotherapy,None,psychotherapy-supervision.enum.ts,,,,,,osot_Psychotherapy_Supervision,osot_psychotherapy_supervision,,,,,,,,TRUE,FALSE
Auto_Renewal,,Yes/No,,Simple,Business required,TRUE,TRUE,No = 0; Yes = 1,,,,,No,,,,,,,osot_Auto_Renewal,osot_auto_renewal,,,,,,,,TRUE,FALSE
Membership_Declaration,,Yes/No,,Simple,Business required,TRUE,TRUE,No = 0; Yes = 1,,,,,No,,,,,,,osot_Membership_Declaration,osot_membership_declaration,,,,,,,,TRUE,FALSE
Privilege,,Choice,,Simple,Optional,TRUE,TRUE,,,FALSE,YES,Choices_Privilege,Owner,privilege.enum.ts,,,,,,osot_Privilege,osot_privilege,,,,,,,,TRUE,FALSE
Access_Modifiers,,Choice,,Simple,Optional,TRUE,TRUE,,,FALSE,YES,Choices_Access_Modifiers,Private,access-modifier.enum.ts,,,,,,osot_Access_Modifiers,osot_access_modifiers,,,,,,,,TRUE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Display Name,Table_Membership_Preference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plural Name,Table_Membership_Preferences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schema Name,osot_Table_Membership_Preference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logical Name,osot_table_membership_preference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
