Display name,Description,Data type,Format,Behavior,Required,Searchable,Allow form fill assistance,Choices,Related table,Selecting multiple choices is allowed,Sync with global choice?,Sync this choice with,Default choice,Enum,Autonumber type,Prefix,Minimum number of digits,Seed value,Preview,Schema name,Logical name,Relationship name,Minimum value,Maximum value,Precision source,Time zone adjustment,Maximum character count,IME mode,Enabel auditing,Sortable
Settings_ID,Business ID for internal control and pagination,Autonumber,,,Business requires,TRUE,FALSE,,,,,,,,String prefixed number,osot-set,7,1,osot-set-0000001,osot_SettingsID,osot_settingsid,,,,,,850,Disabled,TRUE,TRUE
Table_Membership_Settings,Unique identifier for entity instances,Unique identifier,,,System required,TRUE,FALSE,,,,,,,,,,,,,osot_Table_Membership_SettingsId,osot_table_membership_settingsid,,,,,,,,FALSE,FALSE
Table_Organization,,Lookup,,,Business requires,TRUE,TRUE,,Table_Organization,,,,,,,,,,,osot_Table_Organization,osot_table_organization,osot_Table_Membership_Setting_osot_Table_Organization_osot_Table_Organization,,,,,,,FALSE,FALSE
Membership_Year,,Single line of text,Text,Simple,Business requires,TRUE,TRUE,,,,,,,,,,,,,osot_Membership_Year,osot_membership_year,,,,,,4,Disabled,TRUE,FALSE
Membership_Year_Status,,Choice,,Simple,Business requires,TRUE,TRUE,,,FALSE,YES,Choices_Status,None,account-status.enum.ts,,,,,,osot_Membership_Year_Status,osot_membership_year_status,,,,,,,,TRUE,FALSE
Membership_Group,,Choice,,Simple,Business requires,TRUE,TRUE,,,FALSE,YES,Choices_Membership_Group,None,membership-group.enum.ts,,,,,,osot_Membership_Group,osot_membership_group,,,,,,,,TRUE,FALSE
Year_Starts,,Date and time,Date only,Simple,Business requires,TRUE,TRUE,,,,,,,,,,,,,osot_Year_Starts,osot_year_starts,,,,,,,,TRUE,FALSE
Year_Ends,,Date and time,Date only,Simple,Business requires,TRUE,TRUE,,,,,,,,,,,,,osot_Year_Ends,osot_year_ends,,,,,,,,TRUE,FALSE
Privilege,,Choice,,Simple,Optional,TRUE,TRUE,,,FALSE,YES,Choices_Privilege,Main,privilege.enum.ts,,,,,,osot_Privilege,osot_privilege,,,,,,,,TRUE,FALSE
Access_Modifiers,,Choice,,Simple,Optional,TRUE,TRUE,,,FALSE,YES,Choices_Access_Modifiers,Protected,access-modifier.enum.ts,,,,,,osot_Access_Modifiers,osot_access_modifiers,,,,,,,,TRUE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Display Name,Table_Membership_Setting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plural Name,Table_Membership_Settings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schema Name,osot_Table_Membership_Settings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logical Name,osot_table_membership_settings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
