Display name,Description,Data type,Format,Behavior,Required,Searchable,Allow form fill assistance,Choices,Related table,Selecting multiple choices is allowed,Sync with global choice?,Sync this choice with,Default choice,Enum,Autonumber type,Prefix,Minimum number of digits,Seed value,Preview,Schema name,Logical name,Relationship name,Minimum value,Maximum value,Decimal Places,Precision source,Time zone adjustment,Maximum character count,IME mode,Enabel auditing,Sortable
Additional_Insured_ID,,Autonumber,,,Business required,TRUE,TRUE,,,,,,,,String prefixed number,osot-add-ins,7,1,osot-add-ins-0000001,osot_AdditionalInsuredID,osot_additionalinsuredid,,,,,,,850,Disabled,TRUE,TRUE
Table_Additional_Insured,Unique identifier for entity instances,Unique identifier,,,System required,TRUE,FALSE,,,,,,,,,,,,,osot_Table_Additional_InsuredId,osot_table_additional_insuredid,,,,,,,,,FALSE,FALSE
Table_Insurance,,Lookup,,,Business required,TRUE,TRUE,,Table_Insurance,,,,,,,,,,,osot_Table_Insurance,osot_table_insurance,osot_Table_Additional_Insured_osot_Table_Insurance_osot_Table_Insurance,,,,,,,,FALSE,FALSE
Company_Name,,Single line of text,Text,Simple,Business required,TRUE,TRUE,,,,,,,,,,,,,osot_Company_Name,osot_company_name,,,,,,,255,Disabled,TRUE,FALSE
Address,,Single line of text,Text,Simple,Business required,TRUE,TRUE,,,,,,,,,,,,,osot_Address,osot_address,,,,,,,255,Disabled,TRUE,FALSE
City,,Choice,,Simple,Business required,TRUE,TRUE,TRUE,,FALSE,TRUE,Choices_Cities,None,cities.enum.ts,,,,,,osot_City,osot_city,,,,,,,,,TRUE,FALSE
Province,,Choice,,Simple,Business required,TRUE,TRUE,TRUE,,FALSE,TRUE,Choices_Provinces,None,provices.enum.ts,,,,,,osot_Province,osot_province,,,,,,,,,TRUE,FALSE
Postal_Code,,Single line of text,Text,Simple,Business required,TRUE,TRUE,,,,,,,,,,,,,osot_Postal_Code,osot_postal_code,,,,,,,7,Disabled,TRUE,FALSE
Privilege,,Choice,,Simple,Optional,TRUE,TRUE,TRUE,,FALSE,TRUE,Choices_Privilege,Owner,privilege.enum.ts,,,,,,osot_Privilege,osot_privilege,,,,,,,,,TRUE,FALSE
Access_Modifiers,,Choice,,Simple,Optional,TRUE,TRUE,TRUE,,FALSE,TRUE,Choices_Access_Modifiers,Private,access-modifier.enum.ts,,,,,,osot_Access_Modifiers,osot_access_modifiers,,,,,,,,,TRUE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Display Name,Table_Additional_Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plural Name,Table_Additional_Insureds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schema Name,osot_Table_Additional_Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logical Name,osot_table_additional_insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
