Display name,Description,Data type,Format,Behavior,Required,Searchable,Allow form fill assistance,Choices,Related table,Selecting multiple choices is allowed,Sync with global choice?,Sync this choice with,Compare with,Enum,Default choice,Autonumber type,Prefix,Minimum number of digits,Seed value,Preview,Schema name,Logical name,Relationship name,Minimum value,Maximum value,Decimal Places,Precision source,Time zone adjustment,Maximum character count,IME mode,Enabel auditing,Sortable
Target_ID,,Autonumber,,,Business required,TRUE,TRUE,,,,,,,,,String prefixed number,osot-tgt,7,1,osot-tgt-0000001,osot_Target,osot_target,,,,,,,850,Disable,TRUE,TRUE
Table_Audience_Target,Unique identifier for entity instances,Unique identifier,,,System required,TRUE,FALSE,,,,,,,,,,,,,,osot_Table_Audience_TargetId,osot_table_audience_targetid,,,,,,,,,FALSE,FALSE
Table_Product,,Lookup,,,Optional,TRUE,TRUE,,Table_Product,,,,,,,,,,,,osot_Table_Product,osot_table_product,osot_Table_Audience_Target_osot_Table_Product_osot_Table_Product,,,,,,,,FALSE,FALSE
Account_Group,,Choice,,Simple,Optional,TRUE,TRUE,TRUE,,TRUE,TRUE,Choices_Account_Group,Table_Account,account-group.enum.ts,,,,,,,osot_Account_Group,osot_account_group,,,,,,,,,TRUE,FALSE
Affiliate_Area,,Choice,,Simple,Optional,TRUE,TRUE,TRUE,,TRUE,TRUE,Choices_Affiliate_Area,Table_Account_Affiliate,affiliate-areas.enum.ts,,,,,,,osot_Affiliate_Area,osot_affiliate_area,,,,,,,,,TRUE,FALSE
Affiliate_City,,Choice,,Simple,Optional,TRUE,TRUE,TRUE,,TRUE,TRUE,Choices_Cities,Table_Account_Affiliate,cities.enum.ts,,,,,,,osot_Affiliate_City,osot_affiliate_city,,,,,,,,,TRUE,FALSE
Affiliate_Province,,Choice,,Simple,Optional,TRUE,TRUE,TRUE,,TRUE,TRUE,Choices_Provinces,Table_Account_Affiliate,provinces.enum.ts,,,,,,,osot_Affiliate_Province,osot_affiliate_province,,,,,,,,,TRUE,FALSE
Membership_City,,Choice,,Simple,Optional,TRUE,TRUE,TRUE,,TRUE,TRUE,Choices_Cities,Table_Address,cities.enum.ts,,,,,,,osot_Membership_City,osot_membership_city,,,,,,,,,TRUE,FALSE
Province,,Choice,,Simple,Optional,TRUE,TRUE,TRUE,,TRUE,TRUE,Choices_Provinces,Table_Address,provinces.enum.ts,,,,,,,osot_Province,osot_province,,,,,,,,,TRUE,FALSE
Gender,,Choice,,Simple,Optional,TRUE,TRUE,TRUE,,TRUE,TRUE,Choices_Gender,Table_Identity,gender-choice.enum.ts,,,,,,,osot_Gender,osot_gender,,,,,,,,,TRUE,FALSE
Indigenous_ Details,,Choice,,Simple,Optional,TRUE,TRUE,TRUE,,TRUE,TRUE,Choices_Indigenous,Table_Identity,indigenous-detai.enum.ts,,,,,,,osot_Indigenous_Details,osot_indigenous_details,,,,,,,,,TRUE,FALSE
Language,,Choice,,Simple,Optional,TRUE,TRUE,TRUE,,TRUE,TRUE,Choices_Languages,Table_Identity,language-choice.enum.ts,,,,,,,osot_Language,osot_language,,,,,,,,,TRUE,FALSE
Race,,Choice,,Simple,Optional,TRUE,TRUE,TRUE,,TRUE,TRUE,Choices_Races,Table_Identity,race-choice.enum.ts,,,,,,,osot_Race,osot_race,,,,,,,,,TRUE,FALSE
Eligibility_Affiliate,,Choice,,Simple,Optional,TRUE,TRUE,TRUE,,TRUE,TRUE,Choices_Eligibility_Affiliate,Table_Membership_Category,affiliate-eligibility-enum.ts,,,,,,,osot_Eligibility_Affiliate,osot_eligibility_affiliate,,,,,,,,,TRUE,FALSE
Membership_Category,,Choice,,Simple,Optional,TRUE,TRUE,TRUE,,TRUE,TRUE,Choices_Categories,Table_Membership_Category,categories-enum.ts,,,,,,,osot_Membership_Category,osot_membership_category,,,,,,,,,TRUE,FALSE
