Display name,Description,Data type,Format,Behavior,Required,Searchable,Allow form fill assistance,Choices,Related table,Selecting multiple choices is allowed,Sync with global choice?,Sync this choice with,Default choice,Enum,Autonumber type,Prefix,Minimum number of digits,Seed value,Preview,Schema name,Logical name,Relationship name,Minimum value,Maximum value,Decimal Places,Precision source,Time zone adjustment,Maximum character count,IME mode,Enabel auditing,Sortable
Provider_ID,,Autonumber,,,Business required,TRUE,TRUE,,,,,,,,String prefixed number,osot-prov,7,1,osot-prov-0000001,osot_Provider_ID,osot_provider_id,,,,,,,850,Disabled,TRUE,FALSE
Table_Insurance_Provider,Unique identifier for entity instances,Unique identifier,,,Systen required,TRUE,FALSE,,,,,,,,,,,,,osot_Table_Insurance_ProviderId,osot_table_insurance_providerid,,,,,,,,,FALSE,FALSE
Organization,,Lookup,,,Business required,TRUE,TRUE,,Table_Organization,,,,,,,,,,,osot_Table_Organization,osot_table_organization,osot_Table_Insurance_Provider_osot_Table_Organization_osot_Table_Organization,,,,,,,,FALSE,FALSE
Insurance_Company_Name,,Single line of text,Text,Simple,Business required,TRUE,TRUE,,,,,,,,,,,,,osot_Insurance_Company_Name,osot_insurance_company_name,,,,,,,255,Disabled,TRUE,FALSE
Insurance_Broker_Name,,Single line of text,Text,Simple,Business required,TRUE,TRUE,,,,,,,,,,,,,osot_Insurance_Broker_Name,osot_insurance_broker_name,,,,,,,255,Disabled,TRUE,FALSE
Insurance_Company_Logo,,Single line of text,URL,Simple,Business required,TRUE,TRUE,,,,,,,,,,,,,osot_Insurance_Company_Logo,osot_insurance_company_logo,,,,,,,1000,Auto,TRUE,FALSE
Insurance_Broker_Logo,,Single line of text,URL,Simple,Optional,TRUE,TRUE,,,,,,,,,,,,,osot_Insurance_Broker_Logo,osot_insurance_broker_logo,,,,,,,1000,Auto,TRUE,FALSE
Policy_Period_Start,,Date and time,Date only,Simple,Business required,TRUE,TRUE,,,,,,,,,,,,,osot_Policy_Period_Start,osot_policy_period_start,,,,,,User local,,Disabled,TRUE,FALSE
Policy_Period_End,,Date and time,Date only,Simple,Business required,TRUE,TRUE,,,,,,,,,,,,,osot_Policy_Period_End,osot_policy_period_end,,,,,,User local,,Disabled,TRUE,FALSE
Master_Policy_Description,,Single line of text,Text area,Simple,Business required,TRUE,TRUE,,,,,,,,,,,,,osot_Master_Policy_Description,osot_master_policy_description,,,,,,,4000,Auto,TRUE,FALSE
Insurance_Authorized_Representative,,Single line of text,URL,Simple,Business required,TRUE,TRUE,,,,,,,,,,,,,osot_Insurance_Authorized_Representative,osot_insurance_authorized_representative,,,,,,,1000,Auto,TRUE,FALSE
Certificate_Observations,,Single line of text,Text area,Simple,Optional,TRUE,TRUE,,,,,,,,,,,,,osot_Certificate_Observations,osot_certificate_observations,,,,,,,4000,Auto,TRUE,FALSE
Broker_General_Information,,Single line of text,Text area,Simple,Optional,TRUE,TRUE,,,,,,,,,,,,,osot_Broker_General_Information,osot_broker_general_information,,,,,,,4000,Auto,TRUE,FALSE
Privilege,,Choice,,Simple,Optional,TRUE,TRUE,TRUE,,FALSE,TRUE,Choices_Privilege,Main,Choices_Privilege,,,,,,osot_Privilege,osot_privilege,,,,,,,,,TRUE,FALSE
Access_Modifier,,Choice,,Simple,Optional,TRUE,TRUE,TRUE,,FALSE,TRUE,Choices_Access_Modifiers,Protected,Choices_Access_Modifiers,,,,,,osot_Access_Modifier,osot_access_modifier,,,,,,,,,TRUE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Display Name,Table_Insurance_Provider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plural Name,Table_Insurance_Providers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schema Name,osot_Table_Insurance_Provider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logical Name,osot_table_insurance_provider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
