Display name,Description,Data type,Format,Behavior,Required,Searchable,Allow form fill assistance,Choices,Related table,Selecting multiple choices is allowed,Sync with global choice?,Sync this choice with,Default choice,Enum,Autonumber type,Prefix,Minimum number of digits,Seed value,Preview,Schema name,Logical name,Relationship name,Minimum value,Maximum value,Decimal Places,Precision source,Time zone adjustment,Maximum character count,IME mode,Enabel auditing,Sortable
Insurance_ID,,Autonumber,,,Business required,TRUE,TRUE,,,,,,,,String prefixed number,osot-ins,7,1,osot-ins-0000001,osot_InsuranceID,osot_insuranceid,,,,,,,850,Disabled,TRUE,TRUE
Table_Insurance,Unique identifier for entity instances,Unique identifier,,,System required,TRUE,FALSE,,,,,,,,,,,,,osot_Table_InsuranceId,osot_table_insuranceid,,,,,,,,,FALSE,FALSE
Sponsoring_Entity,,Lookup,,,Business required,TRUE,TRUE,,Table_Organization,,,,,,,,,,,osot_Table_Organization,osot_table_organization,osot_Table_Insurance_osot_Table_Organization_osot_Table_Organization,,,,,,,,FALSE,FALSE
Provider_Info,,Lookup,,,Business required,TRUE,TRUE,,Table_Insurance_Provider,,,,,,,,,,,osot_Table_Insurance_Provider,osot_table_insurance_provider,osot_Table_Insurance_osot_Table_Insurance_Provider_osot_Table_Insurance_Provider,,,,,,,,FALSE,FALSE
Order_ID,,Lookup,,,Business required,TRUE,TRUE,,Table_Order,,,,,,,,,,,osot_Table_Order,osot_table_order,osot_Table_Insurance_osot_Table_Order_osot_Table_Order,,,,,,,,FALSE,FALSE
User_ID,,Lookup,,,Business required,TRUE,TRUE,,Table_Account,,,,,,,,,,,osot_Table_Account,osot_table_account,osot_Table_Insurance_osot_Table_Account_osot_Table_Account,,,,,,,,FALSE,FALSE
Account_Group,This information comes from Table_Account (osot_account_group),Single line of text,Text,Simple,Business required,TRUE,TRUE,,,,,,,,,,,,,osot_Account_Group,osot_account_group,,,,,,,100,Disabled,TRUE,FALSE
Category,This information came from Table_Membership_Category (osot_membership_category) ,Single line of text,Text,Simple,Business required,TRUE,TRUE,,,,,,,,,,,,,osot_Category,osot_category,,,,,,,100,Disabled,TRUE,FALSE
Membership,This information came from Table_Membership_Category (osot_category_id) ,Single line of text,Text,Simple,Business required,TRUE,TRUE,,,,,,,,,,,,,osot_Membership,osot_membership,,,,,,,100,Disabled,TRUE,FALSE
Membership_Year,This information comes from Table_Membership_Settings(osot_membership_year),Single line of text,Tex,Simple,Business required,TRUE,TRUE,,,,,,,,,,,,,osot_Membership_Year,osot_membership_year,,,,,,,4,Disabled,TRUE,FALSE
Certificate,This information came from Table_Account (osot_account_id),Single line of text,Text,Simple,Business required,TRUE,TRUE,,,,,,,,,,,,,osot_Certificate,osot_certificate,,,,,,,100,Disabled,TRUE,FALSE
First_Name,This information comes from Table_Account (osot_first_name),Single line of text,Text,Simple,Business required,TRUE,TRUE,,,,,,,,,,,,,osot_First_Name,osot_first_name,,,,,,,100,Disabled,TRUE,FALSE
Last_Name,This information comes from Table_Account (osot_last_name),Single line of text,Text,Simple,Business required,TRUE,TRUE,,,,,,,,,,,,,osot_Last_Name,osot_last_name,,,,,,,100,Disabled,TRUE,FALSE
Personal_Corporation,,Single line of text,Text,Simple,Optional,TRUE,TRUE,,,,,,,,,,,,,osot_Personal_Corporation,osot_personal_corporation,,,,,,,255,Disabled,TRUE,FALSE
Address_1,This information came from Table_Address (osot_address_1),Single line of text,Text,Simple,Business required,TRUE,TRUE,,,,,,,,,,,,,osot_Address_1,osot_address_1,,,,,,,255,Disabled,TRUE,FALSE
Address_2,This information came from Table_Address (osot_address_2),Single line of text,Text,Simple,Optional,TRUE,TRUE,,,,,,,,,,,,,osot_Address_2,osot_address_2,,,,,,,255,Disabled,TRUE,FALSE
City,This information came from Table_Address (osot_city),Single line of text,Text,Simple,Business required,TRUE,TRUE,,,,,,,,,,,,,osot_City,osot_city,,,,,,,255,Disabled,TRUE,FALSE
Province,This information came from Table_Address (osot_province),Single line of text,Text,Simple,Business required,TRUE,TRUE,,,,,,,,,,,,,osot_Province,osot_province,,,,,,,100,Disabled,TRUE,FALSE
Postal_Code,This information came from Table_Address (osot_postal_code),Single line of text,Text,Simple,Business required,TRUE,TRUE,,,,,,,,,,,,,osot_Postal_Code,osot_postal_code,,,,,,,7,Disabled,TRUE,FALSE
Phone_Number,This information came from Table_Account (osot_mobile_phone),Single line of text,Text,Simple,Business required,TRUE,TRUE,,,,,,,,,,,,,osot_Phone_Number,osot_phone_number,,,,,,,14,Disabled,TRUE,FALSE
Email,This information came from Table_Account (osot_email),Single line of text,Text,Simple,Business required,TRUE,TRUE,,,,,,,,,,,,,osot_Email,osot_email,,,,,,,255,Disabled,TRUE,FALSE
Endorsement_Description,Only for admin users,Single line of text,Text area,Simple,Optional,TRUE,TRUE,,,,,,,,,,,,,osot_Endorsement_Description,osot_endorsement_description,,,,,,,4000,Disabled,TRUE,FALSE
Endorsement_Effective_Date,Only for admin users,Date and time,Date and time,Simple,Optional,TRUE,TRUE,,,,,,,,,,,,,osot_Endorsement_Effective_Date,osot_endorsement_effective_date,,,,,,User local,,Disabled,TRUE,FALSE
Insurance_Question_1,"In the past, has the Applicant or any of his/her employees ever been the recipient of any allegations of professional negligence in writing or verbally?",Yes/No,,Simple,Optional,TRUE,TRUE,TRUE,,,,,No,,,,,,,osot_Insurance_Question_1,osot_insurance_question_1,,,,,,,,,TRUE,FALSE
Insurance_Question_1_Explain,"If yes, explain...",Single line of text,Text area,Simple,Optional,TRUE,TRUE,,,,,,,,,,,,,osot_Insurance_Question_1_Explain,osot_insurance_question_1_explain,,,,,,,4000,Disabled,TRUE,FALSE
Insurance_Question_2,"Has any insurer ever declined, cancelled or imposed special conditions for any coverage for you or your entity in the past?",Yes/No,,Simple,Optional,TRUE,TRUE,TRUE,,,,,No,,,,,,,osot_Insurance_Question_2,osot_insurance_question_2,,,,,,,,,TRUE,FALSE
Insurance_Question_2_Explain,"If yes, explain...",Single line of text,Text area,Simple,Optional,TRUE,TRUE,,,,,,,,,,,,,osot_Insurance_Question_2_Explain,osot_insurance_question_2_explain,,,,,,,4000,Disabled,TRUE,FALSE
Insurance_Question_3,"Is the Applicant or any of his/her employees aware of any facts, circumstances or situations which may reasonably give rise to a claim, other than advised above?",Yes/No,,Simple,Optional,TRUE,TRUE,TRUE,,,,,No,,,,,,,osot_Insurance_Question_3,osot_insurance_question_3,,,,,,,,,TRUE,FALSE
Insurance_Question_3_Explain,"If yes, explain...",Single line of text,Text area,Simple,Optional,TRUE,TRUE,,,,,,,,,,,,,osot_Insurance_Question_3_Explain,osot_insurance_question_3_explain,,,,,,,4000,Disabled,TRUE,FALSE
Insurance_declaration,"I HEREBY DECLARE that the above statements and particulars are true to the best of my knowledge, that I have not suppressed or misstated any facts and I agree that this application shall form part of the insurance policy. I also acknowledge that I am obligated to report any changes that could affect the disclosures in this application that occur after the date of signature, but prior to the effective date of coverage.",Yes/No,,Simple,Business required,TRUE,TRUE,TRUE,,,,,No,,,,,,,osot_Insurance_declaration,osot_insurance_declaration,,,,,,,,,TRUE,FALSE
