Display name,Description,Data type,Format,Behavior,Required,Searchable,Allow form fill assistance,Choices,Related table,Selecting multiple choices is allowed,Sync with global choice?,Sync this choice with,Default choice,Enum,Autonumber type,Prefix,Minimum number of digits,Seed value,Preview,Schema name,Logical name,Relationship name,Size of number,Minimum value,Maximum value,Decimal Places,Precision source,Time zone adjustment,Maximum character count,IME mode,Enabel auditing,Sortable
Order_Product_ID,,Autonumber,,,Business required,TRUE,TRUE,,,,,,,,String prefixed number,osot_ord_prod,7,1,osot_ord_prod-0000001,osot_OrderProductID,osot_orderproductid,,,,,,,,850,Disabled,TRUE,TRUE
Table_Order_Product,Unique identifier for entity instances,Unique identifier,,,System required,TRUE,FALSE,,,,,,,,,,,,,osot_Table_Order_ProductId,osot_table_order_productid,,,,,,,,,,FALSE,FALSE
Table_Order,,Lookup,,,Business required,TRUE,TRUE,,Table_Order,,,,,,,,,,,osot_Table_Order,osot_table_order,osot_Table_Order_Product_osot_Table_Order_osot_Table_Order,,,,,,,,,FALSE,FALSE
Product_ID,,Single line of text,Text,Simple,Business required,TRUE,TRUE,,,,,,,,,,,,,osot_Product_ID,osot_product_id,,,,,,,,255,Auto,TRUE,FALSE
Product_Name,,Single line of text,Text,Simple,Business required,TRUE,TRUE,,,,,,,,,,,,,osot_Product_Name,osot_product_name,,,,,,,,255,Auto,TRUE,FALSE
Product_Category,,Single line of text,Text,Simple,Business required,TRUE,TRUE,,,,,,,,,,,,,osot_Product_Category,osot_product_category,,,,,,,,100,Disabled,TRUE,FALSE
Quantity,,Whole number,None,Simple,Business required,TRUE,TRUE,,,,,,,,,,,,,osot_Quantity,osot_quantity,,,0,"2,147,483,647",,,,,,TRUE,FALSE
Selected_Price,,Currency,,Simple,Business required,TRUE,TRUE,,,,,,,,,,,,,osot_SelectedPrice,osot_selectedprice,,,0,"922,337,203,685,477",,Currency precision,,,Disabled,TRUE,FALSE
Product_TAX,,Whole number,None,Simple,Business required,TRUE,TRUE,,,,,,,,,,,,,osot_ProductTAX,osot_producttax,,Normal,0,"2,147,483,647",,,,,,TRUE,FALSE
Insurance_Type,,Single line of text,Text,Simple,Optional,TRUE,TRUE,,,,,,,,,,,,,osot_Insurance_Type,osot_insurance_type,,,,,,,,100,Disabled,TRUE,FALSE
Insurance_Limit,,Currency,,Simple,Optional,TRUE,TRUE,,,,,,,,,,,,,osot_Insurance_Limit,osot_insurance_limit,,,0,"922,337,203,685,477",,Currency precision,,,Disabled,TRUE,FALSE
Product_Additional_Info,,Single line of text,Text area,Simple,Optional,TRUE,TRUE,,,,,,,,,,,,,osot_Product_Additional_Info,osot_product_additional_info,,,,,,,,4000,Auto,TRUE,FALSE
TAX_Amount,"The value of the tax. E.g: Product = $ 100.00, TAX = 13%, TAX amount= $ 13.00",Currency,,Simple,Business required,TRUE,TRUE,,,,,,,,,,,,,osot_TAXAmount,osot_taxamount,,,0,"922,337,203,685,477",,Currency precision,,,Disabled,TRUE,FALSE
Item_Subtotal,,Currency,,Simple,Business required,TRUE,TRUE,,,,,,,,,,,,,osot_ItemSubtotal,osot_itemsubtotal,,,0,"922,337,203,685,477",,Currency precision,,,Disabled,TRUE,FALSE
Item_Total,,Currency,,Simple,Business required,TRUE,TRUE,,,,,,,,,,,,,osot_ItemTotal,osot_itemtotal,,,0,"922,337,203,685,477",,Currency precision,,,Disabled,TRUE,FALSE
Privilege,,Choice,,Simple,Optional,TRUE,TRUE,TRUE,,FALSE,TRUE,Choices_Privilege,,privilege.enum.ts,,,,,,osot_Privilege,osot_privilege,,,,,,,,,,TRUE,FALSE
Access_Modifiers,,Choice,,Simple,Optional,TRUE,TRUE,TRUE,,FALSE,TRUE,Choices_Access_Modifiers,,access-modifier.enum.ts,,,,,,osot_Access_Modifiers,osot_access_modifiers,,,,,,,,,,TRUE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Display Name,Table_Order_Product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plural Name,Table_Order_Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schema Name,osot_Table_Order_Product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logical Name,osot_table_order_product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
