Display name,Description,Data type,Format,Behavior,Required,Searchable,Allow form fill assistance,Choices,Related table,Selecting multiple choices is allowed,Sync with global choice?,Sync this choice with,Default choice,Enum,Autonumber type,Prefix,Minimum number of digits,Seed value,Preview,Schema name,Logical name,Relationship name,Minimum value,Maximum value,Decimal Places,Precision source,Time zone adjustment,Maximum character count,IME mode,Enabel auditing,Sortable
Order_Number,,Autonumber,,,Business required,TRUE,TRUE,,,,,,,,String prefixed number,osot_ord,7,1,osot_ord-0000001,osot_OrderID,osot_orderid,,,,,,,850,Disabled,TRUE,TRUE
Table_Order,Unique identifier for entity instances,Unique identifier,,,System required,TRUE,FALSE,,,,,,,,,,,,,osot_Table_OrderId,osot_table_orderid,,,,,,,,,FALSE,FALSE
Table_Organization,,Lookup,,,Business required,TRUE,TRUE,,Table_Organization,,,,,,,,,,,osot_Table_Organization,osot_table_organization,osot_Table_Order_osot_Table_Organization_osot_Table_Organization,,,,,,,,FALSE,FALSE
Table_Account,,Lookup,,,Optional,TRUE,TRUE,,Table_Account,,,,,,,,,,,osot_Table_Account,osot_table_account,osot_Table_Order_osot_Table_Account_osot_Table_Account,,,,,,,,FALSE,FALSE
Table_Account_Affiliate,,Lookup,,,Optional,TRUE,TRUE,,Table_Account_Affiliate,,,,,,,,,,,osot_Table_Account_Affiliate,osot_table_account_affiliate,osot_Table_Order_osot_Table_Account_Affiliate_osot_Table_Account_Affiliate,,,,,,,,FALSE,FALSE
Order_Status,,Choices,,Simple,Optional,TRUE,TRUE,TRUE,,FALSE,TRUE,Choices_Order_Status,None,order-status.enum.ts,,,,,,osot_Order_Status,osot_order_status,,,,,,,,,TRUE,FALSE
Payment_Status,,Choices,,Simple,Optional,TRUE,TRUE,TRUE,,FALSE,TRUE,Choices_Payment_Status,None,payment-status.enum.ts,,,,,,osot_Payment_Status,osot_payment_status,,,,,,,,,TRUE,FALSE
Subtotal,,Currency,,Simple,Business required,TRUE,TRUE,,,,,,,,,,,,,osot_Subtotal,osot_subtotal,,0,"922,337,203,685,477",,Currency precision,,,Disabled,TRUE,FALSE
Coupon,,Single line of text,Text,Simple,Optional,TRUE,TRUE,,,,,,,,,,,,,osot_Coupon,osot_coupon,,,,,,,100,Disabled,TRUE,FALSE
Total,,Currency,,Simple,Business required,TRUE,TRUE,,,,,,,,,,,,,osot_Total,osot_total,,0,"922,337,203,685,477",,Currency precision,,,Disabled,TRUE,FALSE
Privilege,,Choice,,Simple,Optional,TRUE,TRUE,TRUE,,FALSE,TRUE,Choices_Privilege,,privilege.enum.ts,,,,,,osot_Privilege,osot_privilege,,,,,,,,,TRUE,FALSE
Access_Modifiers,,Choice,,Simple,Optional,TRUE,TRUE,TRUE,,FALSE,TRUE,Choices_Access_Modifiers,,access-modifier.enum.ts,,,,,,osot_Access_Modifiers,osot_access_modifiers,,,,,,,,,TRUE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Display Name,Table_Order,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plural Name,Table_Orders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schema Name,osot_Table_Order,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logical Name,osot_table_order,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
