Display name,Description,Data type,Format,Behavior,Required,Searchable,Allow form fill assistance,Choices,Related table,Selecting multiple choices is allowed,Sync with global choice?,Sync this choice with,Default choice,Enum,Autonumber type,Prefix,Minimum number of digits,Seed value,Preview,Schema name,Logical name,Relationship name,Minimum value,Maximum value,Precision source,Time zone adjustment,Maximum character count,IME mode,Enabel auditing,Sortable
Address_ID,,Autonumber,,,Optional,TRUE,TRUE,,,,,,,,String prefixed number,osot-ad,7,1,osot-ad-0000001,osot_Address_ID,osot_address_id,,,,,,850,Disabled,TRUE,TRUE
Table_Address,Unique identifier for entity instances,Unique identifier,,,System required,TRUE,FALSE,,,,,,,,,,,,,osot_Table_AddressId,osot_table_addressid,,,,,,,,FALSE,FALSE
Table_Account,,Lookup,,,Optional,TRUE,TRUE,,Table_Account,,,,,,,,,,,osot_Table_Account,osot_table_account,osot_Account_to_Address,,,,,,,FALSE,FALSE
Table_Organization,,Lookup,,,Optional,TRUE,TRUE,,Table_Organization,,,,,,,,,,,osot_Table_Organization,osot_table_organization,osot_Table_Address_osot_Table_Organization_osot_Table_Organization,,,,,,,FALSE,FALSE
User_Business_ID,,Single line of text,Text,Simple,Optional,TRUE,TRUE,,,,,,,,,,,,,osot_User_Business_ID,osot_user_business_id,,,,,,20,Auto,TRUE,FALSE
Address_1,,Single line of text,Text,Simple,Business required,TRUE,TRUE,,,,,,,,,,,,,osot_Address_1,osot_address_1,,,,,,255,Disabled,TRUE,FALSE
Address_2,,Single line of text,Text,Simple,Optional,TRUE,TRUE,,,,,,,,,,,,,osot_Address_2,osot_address_2,,,,,,255,Disabled,TRUE,FALSE
City,,Choice,,Simple,Business required,TRUE,TRUE,,,FALSE,YES,Choices_Cities,None,cities.enumts,,,,,,osot_City,osot_city,,,,,,,,TRUE,FALSE
Other_City,,Single line of text,Text,Simple,Optional,TRUE,TRUE,,,,,,,,,,,,,osot_Other_City,osot_other_city,,,,,,255,Auto,TRUE,FALSE
Province,,Choice,,Simple,Business required,TRUE,TRUE,,,FALSE,YES,Choices_Provinces,None,provinces.enum.ts,,,,,,osot_Province,osot_province,,,,,,,,TRUE,FALSE
Other_Province_State,,Single line of text,Text,Simple,Optional,TRUE,TRUE,,,,,,,,,,,,,osot_Other_Province_State,osot_other_province_state,,,,,,255,Auto,TRUE,FALSE
Postal_Code,,Single line of text,Text,Simple,Business required,TRUE,TRUE,,,,,,,,,,,,,osot_Postal_Code,osot_postal_code,,,,,,7,Disabled,TRUE,FALSE
Country,,Choice,,Simple,Business required,TRUE,TRUE,,,FALSE,YES,Choices_Countries,Canada,countries.enum.ts,,,,,,osot_Country,osot_country,,,,,,,,TRUE,FALSE
Address_Type,,Choice,,Simple,Business required,TRUE,TRUE,,,FALSE,YES,Choices_Address_Type,None,address-type.enum.ts,,,,,,osot_Address_Type,osot_address_type,,,,,,,,TRUE,FALSE
Address_Preference,,Choice,,,Optional,TRUE,FALSE,,,TRUE,YES,Choices_Address_Prefence,,address-preference.enum.ts,,,,,,osot_Address_Preference,osot_address_preference,,,,,,,,TRUE,FALSE
Access_Modifiers,,Choice,,Simple,Optional,TRUE,TRUE,,,FALSE,YES,Choices_Access_Modifiers,Private,access-modifier.enum.ts,,,,,,osot_Access_Modifiers,osot_access_modifiers,,,,,,,,,
Privilege,,Choice,,Simple,Optional,TRUE,TRUE,,,FALSE,YES,Choices_Privilege,Owner,privilege.enum.ts,,,,,,osot_Privilege,osot_privilege,,,,,,,,TRUE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Display Name,Table_Address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plural Name,Table_Addresses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schema Name,osot_Table_Address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logical Name,osot_table_address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
