Display name,Description,Data type,Format,Behavior,Required,Searchable,Allow form fill assistance,Choices,Related table,Selecting multiple choices is allowed,Sync with global choice?,Sync this choice with,Default choice,Enum,Autonumber type,Prefix,Minimum number of digits,Seed value,Preview,Schema name,Logical name,Relationship name,Minimum value,Maximum value,Precision source,Time zone adjustment,Maximum character count,IME mode,Enabel auditing,Sortable
Affiliate Management ID,,Autonumber,,,Optional,TRUE,TRUE,,,,,,,,String prefixed number,aff_am,7,1,aff_am-0000001,osot_AffiliateManagementID,osot_affiliatemanagementid,,,,,,850,Disabled,TRUE,TRUE
Table_Affiliate_Management,Unique identifier for entity instances.,Unique identifier,,,System required,TRUE,FALSE,,,,,,,,,,,,,osot_Table_Affiliate_ManagementId,osot_table_affiliate_managementid,,,,,,,,FALSE,FALSE
Table_Account_Affiliate,Connection with Table Account Affiliate.,Lookup,,,Optional,TRUE,TRUE,,Table_Account_Affiliate,,,,,,,,,,,osot_Table_Account_Affiliate,osot_table_account_affiliate,osot_Table_Affiliate_Management_osot_Table_Account_Affiliate_osot_Table_Account_Affiliate,,,,,,,FALSE,FALSE
User_Business_ID,,Single line of text,Text,Simple,Business required,TRUE,TRUE,,,,,,,,,,,,,osot_User_Business_ID,osot_user_business_id,,,,,,20,Auto,TRUE,FALSE
Tag_1,Open field.,Yes/No,,Simple,Optional,TRUE,TRUE,No=0; Yes=1,,,,,No,,,,,,,osot_Tag_1,osot_tag_1,,,,,,,,TRUE,FALSE
Tag_2,Open field.,Yes/No,,Simple,Optional,TRUE,TRUE,No=0; Yes=1,,,,,No,,,,,,,osot_Tag_2,osot_tag_2,,,,,,,,TRUE,FALSE
Tag_3,Open field.,Yes/No,,Simple,Optional,TRUE,TRUE,No=0; Yes=1,,,,,No,,,,,,,osot_Tag_3,osot_tag_3,,,,,,,,TRUE,FALSE
Tag_4,Open field.,Yes/No,,Simple,Optional,TRUE,TRUE,No=0; Yes=1,,,,,No,,,,,,,osot_Tag_4,osot_tag_4,,,,,,,,TRUE,FALSE
Tag_5,Open field.,Yes/No,,Simple,Optional,TRUE,TRUE,No=0; Yes=1,,,,,No,,,,,,,osot_Tag_5,osot_tag_5,,,,,,,,TRUE,FALSE
Tag_6,Open field.,Single line of text,Text,Simple,Optional,TRUE,TRUE,,,,,,,,,,,,,osot_Tag_6,osot_tag_6,,,,,,255,Disabled,TRUE,FALSE
Tag_7,Open field.,Single line of text,Text,Simple,Optional,TRUE,TRUE,,,,,,,,,,,,,osot_Tag_7,osot_tag_7,,,,,,255,Disabled,TRUE,TRUE
Access Modifiers,,Choice,,Simple,Optional,TRUE,TRUE,,,,TRUE,Choices_Access_Modifiers,Protected,access-modifier.enum.ts,,,,,,osot_Access_Modifiers,osot_access_modifiers,,,,,,,,TRUE,FALSE
Privilege,,Choice,,Simple,Optional,TRUE,TRUE,,,,TRUE,Choices_Privilege,Owner,privilege.enum.ts,,,,,,osot_Privilege,osot_privilege,,,,,,,,TRUE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Display Name,Table_Affiliate_Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plural Name,Table_Affiliate_Managements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schema Name,osot_Table_Affiliate_Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logical Name,osot_table_affiliate_management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
