Display name,Description,Data type,Format,Behavior,Required,Searchable,Allow form fill assistance,Choices,Related table,Selecting multiple choices is allowed,Sync with global choice?,Sync this choice with,Default choice,Enum,Autonumber type,Prefix,Minimum number of digits,Seed value,Preview,Schema name,Logical name,Relationship name,Minimum value,Maximum value,Precision source,Time zone adjustment,Maximum character count,IME mode,Enabel auditing,Sortable
Identity_ID,,Autonumber,,,Optional,TRUE,TRUE,,,,,,,,String prefixed number,osot-id,7,1,osot-id-0000001,osot_Identity_ID,osot_identity_id,,,,,,850,Disabled,TRUE,TRUE
Table_Identity,Unique identifier for entity instances,Unique identifier,,,System required,TRUE,FALSE,,,,,,,,,,,,,osot_Table_IdentityId,osot_table_identityid,,,,,,,,FALSE,FALSE
Table_Account,,Lookup,,,Optional,TRUE,TRUE,,Table_Account,,,,,,,,,,,osot_Table_Account,osot_table_account,osot_Account_To_Identity,,,,,,,FALSE,FALSE
User_Business_ID,,Single libe of text,Text,Simple,Business required,TRUE,TRUE,,,,,,,,,,,,,osot_User_Business_ID,osot_user_business_id,,,,,,20,Auto,TRUE,FALSE
Chosen_Name,,Single libe of text,Text,Simple,Optional,TRUE,TRUE,,,,,,,,,,,,,osot_Chosen_Name,osot_chosen_name,,,,,,255,Disables,TRUE,FALSE
Language,,Choices,,Simple,Business required,TRUE,FALSE,,,TRUE,YES,Choices_Languages,,language-choice.enum.ts,,,,,,osot_Language,osot_language,,,,,,,,TRUE,FALSE
Other_Language,,Single libe of text,Text,Simple,Optional,TRUE,TRUE,,,,,,,,,,,,,osot_Other_Language,osot_other_language,,,,,,,,TRUE,FALSE
Gender,,Choices,,Simple,Optional,TRUE,TRUE,,,FALSE,YES,Choices_Genders,None,gender-choice.enum.ts,,,,,,osot_Gender,osot_gender,,,,,,,,TRUE,FALSE
Race,,Choices,,Simple,Optional,TRUE,TRUE,,,FALSE,YES,Choices_Races,None,race-choice.enum.ts,,,,,,osot_Race,osot_race,,,,,,,,TRUE,FALSE
Indigenous,,Yes/No,,Simple,Optional,TRUE,TRUE,No = 0; Yes = 1,,,,,No,,,,,,,osot_Indigenous,osot_indigenous,,,,,,,,TRUE,FALSE
Indigenous_Detail,,Choices,,Simple,Optional,TRUE,TRUE,,,FALSE,YES,Choices_Indigenous,None,indigenous-detail.enum.ts,,,,,,osot_Indigenous_Detail,osot_indigenous_detail,,,,,,,,TRUE,FALSE
Indigenous_Detail_Other,,Single libe of text,Text,Simple,Optional,TRUE,TRUE,,,,,,,,,,,,,osot_Indigenous_Detail_Other,osot_indigenous_detail_other,,,,,,100,Disabled,TRUE,FALSE
Disability,,Yes/No,,Simple,Optional,TRUE,TRUE,No = 0; Yes = 1,,,,,No,,,,,,,osot_Disability,osot_disability,,,,,,,,TRUE,FALSE
Access_Modifiers,,Choices,,Simple,Optional,TRUE,TRUE,,,FALSE,YES,Choices_Access_Modifiers,Private,access-modifier.enum.ts,,,,,,osot_Access_Modifiers,osot_access_modifiers,,,,,,,,TRUE,FALSE
Privilege,,Choices,,Simple,Optional,TRUE,TRUE,,,FALSE,YES,Choices_Privilege,Owner,privilege.enum.ts,,,,,,osot_Privilege,osot_privilege,,,,,,,,TRUE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Display Name,Table_Identity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plural Name,Table_Identities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schema Name,osot_Table_Identity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logical Name,osot_table_identity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
