Display name,Description,Data type,Format,Behavior,Required,Searchable,Allow form fill assistance,Choices,Related table,Selecting multiple choices is allowed,Sync with global choice?,Sync this choice with,Default choice,Enum,Autonumber type,Prefix,Minimum number of digits,Seed value,Preview,Schema name,Logical name,Relationship name,Minimum value,Maximum value,Precision source,Time zone adjustment,Maximum character count,IME mode,Enabel auditing,Sortable
OTA_Education_ID,,Autonumber,,,Optional,TRUE,TRUE,,,,,,,,String prefixed number,osot-ota-ed,7,1,osot-oat-ed-0000001,osot_OTA_Education_ID,osot_ota_education_id,,,,,,850,Disabled,TRUE,TRUE
Table_OTA_Education,Unique identifier for entity instances,Unique identifier,,,System required,TRUE,FALSE,,,,,,,,,,,,,osot_Table_OTA_EducationId,osot_table_ota_educationid,,,,,,,,FALSE,FALSE
Table_Account,,Lookup,,,Optional,TRUE,TRUE,,Table_Account,,,,,,,,,,,osot_Table_Account,osot_table_account,osot_Account_to_OTA_Education,,,,,,,FALSE,FALSE
User_Business_ID,,Single line of text,Text,Simple,Business required,TRUE,TRUE,,,,,,,,,,,,,osot_User_Business_ID,osot_user_business_id,,,,,,20,Auto,TRUE,FALSE
OTA_Degree_Type,,Choice,,Simple,Optional,TRUE,TRUE,,,FALSE,YES,Choices_Degree_Type,Diploma/Credential,degree-type.enum.ts,,,,,,osot_OTA_Degree_Type,osot_ota_degree_type,,,,,,,,TRUE,FALSE
OTA_College,,Choice,,Simple,Optional,TRUE,TRUE,,,FALSE,YES,Choices_OTA_Colleges,None,ota-colleges.enum.ts,,,,,,osot_OTA_College,osot_ota_college,,,,,,,,TRUE,FALSE
OTA_Grad_Year,,Choice,,Simple,Optional,TRUE,TRUE,,,FALSE,YES,Choices_Years,None,graduation-year.enum.ts,,,,,,osot_OTA_Grad_Year,osot_ota_grad_year,,,,,,,,TRUE,FALSE
Education_Category,,Choice,,Simple,Optional,TRUE,TRUE,,,FALSE,YES,Choices_Education_Category,None,education-category.enum.ts,,,,,,osot_Education_Category,osot_education_category,,,,,,,,TRUE,FALSE
OTA_Country,,Choice,,Simple,Optional,TRUE,TRUE,,,FALSE,YES,Choices_Countries,Canada,countries.enum.ts,,,,,,osot_OTA_Country,osot_ota_country,,,,,,,,TRUE,FALSE
OTA_Other,,Single line of text,Text,Simple,Optional,TRUE,TRUE,,,,,,,,,,,,,osot_OTA_Other,osot_ota_other,,,,,,100,Disabled,TRUE,FALSE
Work_Declaration,,Yes/No,,Simple,Business required,TRUE,TRUE,No = 0; Yes = 1,,,,,No,,,,,,,osot_Work_Declaration,osot_work_declaration,,,,,,,,TRUE,FALSE
Access_Modifiers,,Choice,,Simple,Optional,TRUE,TRUE,,,FALSE,YES,Choices_Access_Modifiers,Private,access-modifier.enum.ts,,,,,,osot_Access_Modifiers,osot_access_modifiers,,,,,,,,TRUE,FALSE
Privilege,,Choice,,Simple,Optional,TRUE,TRUE,,,FALSE,YES,Choices_Privilege,Owner,privilege.enum.ts,,,,,,osot_Privilege,osot_privilege,,,,,,,,TRUE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Display Name,Table_OTA_Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plural Name,Table_OTA_Educations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schema Name,osot_Table_OTA_Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logical Name,osot_table_ota_education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
